statement,source,link,veracity,tokens
"""Watch those GDP numbers. We started off at a very low number, and right now we hit a 3.2 (percent). Nobody thought that was possible.""",Donald Trump,/web/20180705082623/https://www.politifact.com/truth-o-meter/statements/2018/jul/02/donald-trump/donald-trump-base-describing-gdp-growth-his-watch/,0,"['Watch', 'those', 'GDP', 'numbers', 'We', 'started', 'off', 'at', 'a', 'very', 'low', 'number', 'and', 'right', 'now', 'we', 'hit', 'a', '3', '2', 'percent', 'Nobody', 'thought', 'that', 'was', 'possible']"
"""The European Union … they send us Mercedes, they send us -- by the millions -- the BMWs -- cars by the millions.""",Donald Trump,/web/20180705082623/https://www.politifact.com/truth-o-meter/statements/2018/jul/02/donald-trump/donald-trump-wrong-mercedes-bmw-import-cars-us-mil/,0,"['The', 'European', 'Union', 'they', 'send', 'us', 'Mercedes', 'they', 'send', 'us', 'by', 'the', 'millions', 'the', 'BMWs', 'cars', 'by', 'the', 'millions']"
"""Clinton campaign official arrested by FBI on child rape/trafficking charges""",Bloggers,/web/20180705082623/https://www.politifact.com/punditfact/statements/2018/jul/02/blog-posting/websites-wrongly-claim-man-arrested-child-sex-char/,0,"['Clinton', 'campaign', 'official', 'arrested', 'by', 'FBI', 'on', 'child', 'rape', 'trafficking', 'charges']"
"""Our courts find that 80 percent of those who do file for asylum aren’t qualified for it, do not merit that relief.""",Jeff Sessions,/web/20180705082623/https://www.politifact.com/truth-o-meter/statements/2018/jul/02/jeff-sessions/jeff-sesssions-false-claim-80-percent-asylum-appli/,0,"['Our', 'courts', 'find', 'that', '80', 'percent', 'of', 'those', 'who', 'do', 'file', 'for', 'asylum', 'aren', 't', 'qualified', 'for', 'it', 'do', 'not', 'merit', 'that', 'relief']"
"Says a progressive income tax proposal from Democratic governor candidate J.B. Pritzker ""is wholly regressive.""",Evelyn Sanguinetti,/web/20180705082623/https://www.politifact.com/illinois/statements/2018/jul/02/evelyn-sanguinetti/illinois-lite-guv-calls-progressive-tax-idea-regre/,0,"['Says', 'a', 'progressive', 'income', 'tax', 'proposal', 'from', 'Democratic', 'governor', 'candidate', 'J', 'B', 'Pritzker', 'is', 'wholly', 'regressive']"
"""Maxine Waters Is Getting Criminally Charged!""",Bloggers,/web/20180705082623/https://www.politifact.com/punditfact/statements/2018/jun/29/blog-posting/loomer-maxine-waters-not-facing-criminal-charges/,0,"['Maxine', 'Waters', 'Is', 'Getting', 'Criminally', 'Charged']"
"""There isn't a system"" for reuniting families separated under Trump’s zero tolerance border policy.",Rachel Maddow,/web/20180705082623/https://www.politifact.com/punditfact/statements/2018/jun/29/rachel-maddow/rachel-maddow-right-there-was-no-plan-reuniting-fa/,1,"['There', 'isn', 't', 'a', 'system', 'for', 'reuniting', 'families', 'separated', 'under', 'Trump', 's', 'zero', 'tolerance', 'border', 'policy']"
"""Burka clad woman runs over baby, gets away with crime for one stunning reason ...""",Bloggers,/web/20180701030417/http://www.politifact.com/ohio/statements/2018/jun/26/blog-posting/blog-site-wrongly-claims-muslim-woman-escaped-puni/,0,"['Burka', 'clad', 'woman', 'runs', 'over', 'baby', 'gets', 'away', 'with', 'crime', 'for', 'one', 'stunning', 'reason']"
"""Migrant mother and ‘crying girl’ on Time cover never separated.""",The Gateway Pundit,/web/20180701030417/http://www.politifact.com/punditfact/statements/2018/jun/25/gateway-pundit/immigrant-girl-time-cover-wasnt-separated-mother/,1,"['Migrant', 'mother', 'and', 'crying', 'girl', 'on', 'Time', 'cover', 'never', 'separated']"
"Says Republican gubernatorial candidate Adam Laxalt ""tried to cut a deal with big pharma"" in a lawsuit.",AFSCME,/web/20180701030417/http://www.politifact.com/truth-o-meter/statements/2018/jun/25/afscme/ad-falsely-accuses-nevadas-gop-governor-candidate-/,0,"['Says', 'Republican', 'gubernatorial', 'candidate', 'Adam', 'Laxalt', 'tried', 'to', 'cut', 'a', 'deal', 'with', 'big', 'pharma', 'in', 'a', 'lawsuit']"
"A Chinese proverb says, ""Those who say it can not be done, should not interrupt those doing it.""",Ivanka Trump,/web/20180701030417/http://www.politifact.com/truth-o-meter/statements/2018/jun/22/ivanka-trump/no-evidence-link-ivanka-trump-quote-chinese-prover/,0,"['A', 'Chinese', 'proverb', 'says', 'Those', 'who', 'say', 'it', 'can', 'not', 'be', 'done', 'should', 'not', 'interrupt', 'those', 'doing', 'it']"
